x="700036.625"	y="276884.5938"
x="699666.0"	y="273684.3125"
x="665064.5"	y="211635.7031"
x="696008.1875"	y="271728.5938"
x="694562.625"	y="271962.4063"
x="693533.0"	y="271667.9063"
x="693771.8125"	y="271259.3125"
x="694294.1875"	y="271048.0"
x="695771.8125"	y="270970.9063"
x="695323.8125"	y="271635.4063"
x="697414.0"	y="268956.9063"
x="697834.375"	y="268877.5"
x="698931.0"	y="269177.5"
x="665125.875"	y="210235.4688"
x="698529.6875"	y="267940.8125"
x="696574.1875"	y="268596.0"
x="695734.3125"	y="267162.5938"
x="697196.1875"	y="268127.0"
x="698829.6875"	y="267816.9063"
x="694334.3125"	y="268989.0938"
x="698901.3125"	y="272771.3125"
x="700496.125"	y="272386.8125"
x="702279.625"	y="270605.5"
x="699384.3125"	y="269708.0938"
x="665122.5"	y="209833.9531"
x="698891.8125"	y="268026.5"
x="689823.8125"	y="204096.0"
x="725164.3125"	y="238484.2969"
x="725177.3125"	y="238441.4063"
x="727785.3125"	y="235514.4063"
x="728320.6875"	y="235160.7031"
x="729532.625"	y="234388.2031"
x="730683.3125"	y="234456.9063"
x="730603.875"	y="234755.7969"
x="730603.875"	y="234814.7969"
x="728872.125"	y="235632.0938"
x="727555.5"	y="235977.9063"
x="716091.0"	y="248184.9063"
x="717993.875"	y="250855.2031"
x="719330.3125"	y="250977.0938"
x="720471.375"	y="251674.9063"
x="702792.5"	y="248780.5"
x="702973.5"	y="248857.5938"
x="704773.0"	y="250317.0"
x="705166.625"	y="251858.7969"
x="702986.8125"	y="248634.4063"
x="700971.8125"	y="250188.0"
x="703863.0625"	y="253861.125"
x="702418.375"	y="252175.0938"
x="702202.125"	y="252076.7969"
x="700861.875"	y="250113.2031"
x="700802.6875"	y="249969.7969"
x="699700.125"	y="252027.9063"
x="699918.0"	y="252608.7969"
x="700280.125"	y="253066.5938"
x="701703.8125"	y="254108.9063"
x="702270.0"	y="255464.0"
x="702514.5"	y="255849.5"
x="707305.625"	y="252093.0938"
x="697751.8125"	y="251814.2031"
x="703856.1875"	y="251577.4063"
x="698384.5"	y="253570.0"
x="706140.3125"	y="256699.9063"
x="704042.625"	y="259605.5"
x="704658.875"	y="258559.0"
